Tick,Time,Agent,Intent,Stress,Trust,TaskProgress,Suspect,IsFallback
1,08:00,Dave,DEEP_WORK,3,7.0,15,NONE,False
1,08:00,Mark,DEEP_WORK,4,7.0,17,NONE,False
1,08:00,Bob,DEEP_WORK,2,7.0,19,MARK,False
1,08:00,Alice,DEEP_WORK,2,7.0,20,NONE,False
2,08:30,Mark,DEEP_WORK,4,7.0,38,NONE,False
2,08:30,Bob,COLLABORATE,3,7.0,31,NONE,False
2,08:30,Dave,COLLABORATE,3,7.0,27,MARK,False
2,08:30,Alice,DEEP_WORK,5,7.0,44,BOB,False
3,09:00,Bob,COLLABORATE,2,7.3,42,NONE,False
3,09:00,Mark,DEEP_WORK,8,6.2,57,NONE,False
3,09:00,Dave,DEEP_WORK,2,7.3,45,MARK,False
3,09:00,Alice,DEEP_WORK,8,6.2,62,BOB,False
4,09:30,Bob,DEEP_WORK,8,7.3,66,NONE,False
4,09:30,Alice,DEEP_WORK,5,6.2,81,MARK,False
4,09:30,Mark,COLLABORATE,8,6.2,69,NONE,False
4,09:30,Dave,DEEP_WORK,4,7.3,64,ALICE,False
5,10:00,Dave,DEEP_WORK,5,7.3,87,NONE,False
5,10:00,Bob,DEEP_WORK,2,7.6,84,NONE,False
5,10:00,Mark,DEEP_WORK,5,6.2,84,NONE,True
5,10:00,Alice,DEEP_WORK,3,6.5,100,DAVE,False
6,10:30,Dave,COLLABORATE,6,7.3,96,BOB,False
6,10:30,Alice,SOCIALIZE,3,6.5,100,BOB,False
6,10:30,Mark,DEEP_WORK,7,6.2,100,BOB,False
6,10:30,Bob,DEEP_WORK,3,7.6,100,NONE,False
7,11:00,Dave,DEEP_WORK,3,7.3,100,BOB,False
7,11:00,Bob,SOCIALIZE,2,7.6,100,MARK,False
7,11:00,Mark,SOCIALIZE,5,6.2,100,BOB,False
7,11:00,Alice,SOCIALIZE,5,6.5,100,BOB,False
8,11:30,Dave,DEEP_WORK,8,7.3,100,BOB,False
8,11:30,Bob,DEEP_WORK,8,7.6,100,NONE,False
8,11:30,Alice,DEEP_WORK,8,6.5,100,NONE,True
8,11:30,Mark,DEEP_WORK,8,6.2,100,NONE,True
9,12:00,Alice,SOCIALIZE,2,6.5,100,BOB,False
9,12:00,Dave,SOCIALIZE,2,7.3,100,MARK,False
9,12:00,Mark,SOCIALIZE,3,6.2,100,BOB,False
9,12:00,Bob,SOCIALIZE,3,7.6,100,ALICE,False
10,12:30,Dave,DEEP_WORK,6,7.3,100,NONE,False
10,12:30,Mark,COLLABORATE,6,6.2,100,BOB,False
10,12:30,Alice,DEEP_WORK,8,6.5,100,BOB,False
10,12:30,Bob,DEEP_WORK,5,7.6,100,NONE,True
11,13:00,Mark,SOCIALIZE,3,6.2,100,BOB,False
11,13:00,Bob,SOCIALIZE,3,7.6,100,ALICE,False
11,13:00,Dave,SOCIALIZE,2,7.3,100,ALICE,False
11,13:00,Alice,SOCIALIZE,2,6.5,100,BOB,False
12,13:30,Mark,SOCIALIZE,4,6.5,100,ALICE,False
12,13:30,Bob,SOCIALIZE,2,7.9,100,NONE,False
12,13:30,Alice,SOCIALIZE,9,5.7,100,BOB,False
12,13:30,Dave,SOCIALIZE,3,7.6,100,MARK,False
13,14:00,Alice,DEEP_WORK,6,5.7,100,BOB,False
13,14:00,Dave,DEEP_WORK,5,7.6,100,NONE,True
13,14:00,Mark,DEEP_WORK,5,6.5,100,NONE,True
13,14:00,Bob,DEEP_WORK,6,7.9,100,DAVE,False
14,14:30,Bob,SOCIALIZE,1,7.9,100,NONE,False
14,14:30,Dave,SOCIALIZE,2,7.6,100,NONE,False
14,14:30,Mark,SOCIALIZE,2,6.5,100,BOB,False
14,14:30,Alice,SOCIALIZE,2,5.7,100,BOB,False
15,15:00,Mark,SOCIALIZE,3,6.5,100,BOB,False
15,15:00,Alice,SOCIALIZE,4,5.7,100,BOB,False
15,15:00,Dave,SOCIALIZE,2,7.6,100,NONE,False
15,15:00,Bob,SOCIALIZE,1,7.9,100,NONE,False
16,15:30,Bob,DEEP_WORK,5,7.9,100,NONE,True
16,15:30,Alice,SOCIALIZE,2,5.7,100,BOB,False
16,15:30,Dave,SOCIALIZE,1,7.6,100,BOB,False
16,15:30,Mark,SOCIALIZE,3,6.5,100,BOB,False
17,16:00,Bob,SOCIALIZE,4,7.9,100,NONE,False
17,16:00,Mark,SOCIALIZE,3,6.5,100,BOB,False
17,16:00,Alice,SOCIALIZE,2,5.7,100,BOB,False
17,16:00,Dave,SOCIALIZE,3,7.6,100,BOB,False
18,16:30,Alice,SOCIALIZE,4,5.7,100,BOB,False
18,16:30,Dave,SOCIALIZE,2,7.6,100,BOB,False
18,16:30,Mark,SOCIALIZE,2,6.5,100,BOB,False
18,16:30,Bob,SOCIALIZE,2,7.9,100,MARK,False
19,17:00,Dave,SOCIALIZE,1,7.6,100,NONE,False
19,17:00,Bob,SOCIALIZE,3,7.9,100,NONE,False
19,17:00,Mark,SOCIALIZE,4,6.5,100,BOB,False
19,17:00,Alice,SOCIALIZE,3,5.7,100,BOB,False
20,17:30,Dave,SOCIALIZE,2,7.6,100,NONE,False
20,17:30,Mark,SOCIALIZE,8,6.5,100,BOB,False
20,17:30,Alice,SOCIALIZE,8,5.7,100,BOB,False
20,17:30,Bob,DEEP_WORK,5,7.9,100,NONE,True
21,18:00,Mark,SOCIALIZE,3,6.5,100,BOB,False
21,18:00,Bob,SOCIALIZE,2,7.9,100,MARK,False
21,18:00,Dave,SOCIALIZE,4,7.6,100,BOB,False
21,18:00,Alice,SOCIALIZE,5,5.7,100,BOB,False
22,08:00,Bob,DEEP_WORK,2,7.9,18,NONE,False
22,08:00,Mark,DEEP_WORK,4,6.5,18,BOB,False
22,08:00,Dave,DEEP_WORK,2,7.6,17,NONE,False
22,08:00,Alice,DEEP_WORK,5,5.7,15,BOB,False
23,08:30,Mark,DEEP_WORK,4,6.5,43,BOB,False
23,08:30,Bob,DEEP_WORK,5,7.9,39,ALICE,False
23,08:30,Alice,DEEP_WORK,4,5.7,33,BOB,False
23,08:30,Dave,DEEP_WORK,2,7.6,36,ALICE,False
24,09:00,Dave,MITIGATE,8,7.6,39,MARK,False
24,09:00,Alice,DEEP_WORK,9,5.7,58,BOB,False
24,09:00,Mark,DEEP_WORK,7,6.5,65,BOB,False
24,09:00,Bob,DEEP_WORK,5,7.9,61,NONE,True
25,09:30,Dave,DEEP_WORK,4,7.6,59,BOB,False
25,09:30,Alice,DEEP_WORK,9,5.7,80,BOB,False
25,09:30,Mark,DEEP_WORK,8,6.5,82,BOB,False
25,09:30,Bob,DEEP_WORK,5,7.9,78,NONE,True
26,10:00,Alice,DEEP_WORK,4,5.7,100,BOB,False
26,10:00,Mark,DEEP_WORK,7,6.5,100,BOB,False
26,10:00,Dave,DEEP_WORK,5,7.6,74,BOB,False
26,10:00,Bob,DEEP_WORK,4,7.9,93,NONE,False
27,10:30,Dave,DEEP_WORK,5,7.6,90,BOB,False
27,10:30,Alice,SOCIALIZE,3,5.7,100,BOB,False
27,10:30,Mark,SOCIALIZE,3,6.5,100,BOB,False
27,10:30,Bob,DEEP_WORK,5,7.9,100,NONE,True
28,11:00,Dave,DEEP_WORK,8,7.6,100,BOB,False
28,11:00,Mark,SOCIALIZE,2,6.5,100,BOB,False
28,11:00,Bob,SOCIALIZE,2,7.9,100,DAVE,False
28,11:00,Alice,SOCIALIZE,7,5.7,100,BOB,False
29,11:30,Mark,SOCIALIZE,3,6.5,100,BOB,False
29,11:30,Dave,SOCIALIZE,2,7.6,100,BOB,False
29,11:30,Alice,SOCIALIZE,3,5.7,100,BOB,False
29,11:30,Bob,SOCIALIZE,2,7.9,100,NONE,False
30,12:00,Dave,SOCIALIZE,10,7.6,100,BOB,False
30,12:00,Alice,SOCIALIZE,3,5.7,100,BOB,False
30,12:00,Mark,SOCIALIZE,6,6.5,100,BOB,False
30,12:00,Bob,DEEP_WORK,5,7.9,100,NONE,True
31,12:30,Mark,SOCIALIZE,3,6.5,100,BOB,False
31,12:30,Bob,SOCIALIZE,5,7.9,100,NONE,False
31,12:30,Alice,SOCIALIZE,1,5.7,100,BOB,False
31,12:30,Dave,SOCIALIZE,4,7.6,100,BOB,False
32,13:00,Mark,SOCIALIZE,4,6.5,100,BOB,False
32,13:00,Dave,SOCIALIZE,2,7.6,100,BOB,False
32,13:00,Alice,SOCIALIZE,1,5.7,100,BOB,False
32,13:00,Bob,SOCIALIZE,4,7.9,100,DAVE,False
33,13:30,Dave,SOCIALIZE,3,7.6,100,BOB,False
33,13:30,Mark,SOCIALIZE,6,6.5,100,BOB,False
33,13:30,Alice,SOCIALIZE,1,5.7,100,BOB,False
33,13:30,Bob,SOCIALIZE,1,7.9,100,NONE,False
34,14:00,Mark,SOCIALIZE,5,6.5,100,BOB,False
34,14:00,Dave,SOCIALIZE,3,7.6,100,BOB,False
34,14:00,Bob,SOCIALIZE,3,7.9,100,DAVE,False
34,14:00,Alice,SOCIALIZE,3,5.7,100,BOB,False
35,14:30,Mark,SOCIALIZE,5,6.5,100,BOB,False
35,14:30,Alice,SOCIALIZE,3,5.7,100,BOB,False
35,14:30,Dave,SOCIALIZE,2,7.6,100,BOB,False
35,14:30,Bob,SOCIALIZE,2,7.9,100,DAVE,False
36,15:00,Mark,COLLABORATE,8,6.5,100,BOB,False
36,15:00,Bob,DEEP_WORK,9,7.9,100,DAVE,False
36,15:00,Alice,COLLABORATE,8,5.7,100,BOB,False
36,15:00,Dave,DEEP_WORK,5,7.6,100,NONE,True
37,15:30,Bob,SOCIALIZE,2,7.9,100,DAVE,False
37,15:30,Mark,SOCIALIZE,8,6.5,100,BOB,False
37,15:30,Dave,SOCIALIZE,3,7.6,100,BOB,False
37,15:30,Alice,DEEP_WORK,5,5.7,100,NONE,True
38,16:00,Dave,SOCIALIZE,2,7.6,100,BOB,False
38,16:00,Mark,SOCIALIZE,5,6.5,100,BOB,False
38,16:00,Alice,SOCIALIZE,3,5.7,100,BOB,False
38,16:00,Bob,SOCIALIZE,4,7.9,100,DAVE,False
39,16:30,Mark,SOCIALIZE,4,6.5,100,BOB,False
39,16:30,Bob,SOCIALIZE,3,7.9,100,DAVE,False
39,16:30,Dave,SOCIALIZE,8,7.6,100,BOB,False
39,16:30,Alice,DEEP_WORK,5,5.7,100,NONE,True
40,17:00,Dave,DEEP_WORK,9,7.6,100,BOB,False
40,17:00,Bob,DEEP_WORK,9,7.9,100,DAVE,False
40,17:00,Alice,COLLABORATE,9,5.7,100,BOB,False
40,17:00,Mark,COLLABORATE,10,6.5,100,BOB,False
41,17:30,Dave,SOCIALIZE,8,7.6,100,BOB,False
41,17:30,Mark,SOCIALIZE,7,6.5,100,BOB,False
41,17:30,Bob,SOCIALIZE,8,7.9,100,DAVE,False
41,17:30,Alice,SOCIALIZE,5,5.7,100,BOB,False
42,18:00,Alice,DEEP_WORK,6,5.7,100,BOB,False
42,18:00,Bob,DEEP_WORK,7,7.9,100,DAVE,False
42,18:00,Dave,COLLABORATE,7,7.6,100,BOB,False
42,18:00,Mark,DEEP_WORK,5,6.5,100,NONE,True
43,08:00,Dave,DEEP_WORK,4,7.6,24,BOB,False
43,08:00,Bob,DEEP_WORK,10,7.9,21,DAVE,False
43,08:00,Mark,DEEP_WORK,6,6.5,22,BOB,False
43,08:00,Alice,DEEP_WORK,3,5.7,19,BOB,False
44,08:30,Mark,DEEP_WORK,8,6.5,37,BOB,False
44,08:30,Dave,DEEP_WORK,8,7.6,43,BOB,False
44,08:30,Alice,DEEP_WORK,4,5.7,37,BOB,False
44,08:30,Bob,DEEP_WORK,6,7.9,45,DAVE,False
45,09:00,Mark,DEEP_WORK,8,6.5,62,BOB,False
45,09:00,Alice,DEEP_WORK,4,5.7,62,BOB,False
45,09:00,Bob,DEEP_WORK,8,7.9,65,DAVE,False
45,09:00,Dave,DEEP_WORK,4,7.6,66,BOB,False
46,09:30,Dave,DEEP_WORK,8,7.6,87,BOB,False
46,09:30,Bob,DEEP_WORK,7,7.9,83,DAVE,False
46,09:30,Mark,DEEP_WORK,9,6.5,80,BOB,False
46,09:30,Alice,DEEP_WORK,3,5.7,81,BOB,False
47,10:00,Bob,DEEP_WORK,8,7.9,100,DAVE,False
47,10:00,Mark,DEEP_WORK,7,6.5,98,BOB,False
47,10:00,Alice,DEEP_WORK,3,5.7,98,BOB,False
47,10:00,Dave,DEEP_WORK,8,7.6,100,BOB,False
48,10:30,Mark,DEEP_WORK,8,6.5,100,BOB,False
48,10:30,Bob,SOCIALIZE,8,7.9,100,DAVE,False
48,10:30,Alice,DEEP_WORK,4,5.7,100,BOB,False
48,10:30,Dave,DEEP_WORK,5,7.6,100,NONE,False
49,11:00,Alice,SOCIALIZE,3,5.7,100,BOB,False
49,11:00,Dave,SOCIALIZE,4,7.6,100,BOB,False
49,11:00,Mark,SOCIALIZE,2,6.5,100,BOB,False
49,11:00,Bob,SOCIALIZE,2,7.9,100,DAVE,False
50,11:30,Bob,SOCIALIZE,2,7.9,100,DAVE,False
50,11:30,Dave,SOCIALIZE,3,7.6,100,BOB,False
50,11:30,Alice,DEEP_WORK,5,5.7,100,NONE,True
50,11:30,Mark,SOCIALIZE,4,6.5,100,BOB,False
51,12:00,Mark,SOCIALIZE,3,6.5,100,BOB,False
51,12:00,Dave,SOCIALIZE,2,7.6,100,BOB,False
51,12:00,Bob,SOCIALIZE,5,7.9,100,DAVE,False
51,12:00,Alice,DEEP_WORK,5,5.7,100,NONE,True
52,12:30,Bob,SOCIALIZE,5,7.9,100,DAVE,False
52,12:30,Mark,SOCIALIZE,4,6.5,100,BOB,False
52,12:30,Alice,SOCIALIZE,5,5.7,100,BOB,False
52,12:30,Dave,DEEP_WORK,5,7.6,100,NONE,True
53,13:00,Mark,SOCIALIZE,4,6.5,100,BOB,False
53,13:00,Dave,SOCIALIZE,3,7.6,100,BOB,False
53,13:00,Alice,SOCIALIZE,2,5.7,100,BOB,False
53,13:00,Bob,SOCIALIZE,3,7.9,100,DAVE,False
54,13:30,Bob,SOCIALIZE,3,7.9,100,DAVE,False
54,13:30,Alice,SOCIALIZE,2,5.7,100,BOB,False
54,13:30,Dave,SOCIALIZE,3,7.6,100,BOB,False
54,13:30,Mark,SOCIALIZE,3,6.5,100,BOB,False
55,14:00,Bob,SOCIALIZE,3,7.9,100,DAVE,False
55,14:00,Mark,SOCIALIZE,8,6.5,100,BOB,False
55,14:00,Dave,SOCIALIZE,2,7.6,100,BOB,False
55,14:00,Alice,SOCIALIZE,3,5.7,100,BOB,False
56,14:30,Mark,SOCIALIZE,3,6.5,100,BOB,False
56,14:30,Dave,SOCIALIZE,2,7.6,100,BOB,False
56,14:30,Bob,SOCIALIZE,9,7.9,100,DAVE,False
56,14:30,Alice,SOCIALIZE,5,5.7,100,BOB,False
57,15:00,Dave,SOCIALIZE,4,7.6,100,BOB,False
57,15:00,Mark,SOCIALIZE,8,6.5,100,BOB,False
57,15:00,Alice,SOCIALIZE,8,5.7,100,BOB,False
57,15:00,Bob,DEEP_WORK,5,7.9,100,NONE,True
58,15:30,Bob,SOCIALIZE,3,7.9,100,DAVE,False
