Tick,Time,Agent,Intent,Stress,Trust,TaskProgress,Suspect,IsFallback
1,08:00,Mark,DEEP_WORK,3,7.0,22,NONE,False
1,08:00,Dave,DEEP_WORK,2,7.0,18,NONE,False
1,08:00,Alice,DEEP_WORK,2,7.0,24,NONE,False
1,08:00,Bob,DEEP_WORK,5,7.0,18,NONE,True
2,08:30,Dave,DEEP_WORK,2,7.0,34,NONE,False
2,08:30,Alice,DEEP_WORK,2,7.0,48,NONE,False
2,08:30,Mark,DEEP_WORK,4,7.0,45,NONE,False
2,08:30,Bob,DEEP_WORK,5,7.0,41,NONE,True
3,09:00,Alice,DEEP_WORK,1,7.0,64,NONE,False
3,09:00,Mark,DEEP_WORK,3,7.0,62,NONE,False
3,09:00,Dave,DEEP_WORK,2,7.0,57,NONE,False
3,09:00,Bob,DEEP_WORK,9,7.0,61,NONE,False
4,09:30,Alice,DEEP_WORK,3,7.0,82,MARK,False
4,09:30,Bob,DEEP_WORK,4,7.0,80,DAVE,False
4,09:30,Mark,DEEP_WORK,4,7.0,82,NONE,False
4,09:30,Dave,DEEP_WORK,5,7.0,82,NONE,True
5,10:00,Alice,DEEP_WORK,4,7.0,97,BOB,False
5,10:00,Bob,DEEP_WORK,8,7.0,100,DAVE,False
5,10:00,Mark,DEEP_WORK,3,7.0,100,BOB,False
5,10:00,Dave,DEEP_WORK,3,7.0,98,MARK,False
6,10:30,Mark,SOCIALIZE,4,7.0,100,DAVE,False
6,10:30,Alice,DEEP_WORK,4,7.0,100,DAVE,False
6,10:30,Dave,SOCIALIZE,8,7.0,100,BOB,False
6,10:30,Bob,SOCIALIZE,3,7.0,100,DAVE,False
7,11:00,Mark,SOCIALIZE,6,7.0,100,BOB,False
7,11:00,Alice,SOCIALIZE,1,7.0,100,DAVE,False
7,11:00,Dave,SOCIALIZE,3,7.0,100,BOB,False
7,11:00,Bob,DEEP_WORK,5,7.0,100,NONE,True
8,11:30,Dave,SOCIALIZE,3,7.0,100,BOB,False
8,11:30,Mark,SOCIALIZE,2,7.0,100,BOB,False
8,11:30,Bob,SOCIALIZE,1,7.0,100,DAVE,False
8,11:30,Alice,SOCIALIZE,3,7.0,100,BOB,False
9,12:00,Dave,SOCIALIZE,3,7.0,100,BOB,False
9,12:00,Alice,SOCIALIZE,1,7.0,100,BOB,False
9,12:00,Mark,SOCIALIZE,4,7.0,100,BOB,False
9,12:00,Bob,SOCIALIZE,6,7.0,100,DAVE,False
10,12:30,Alice,SOCIALIZE,2,7.0,100,DAVE,False
10,12:30,Dave,SOCIALIZE,3,7.0,100,BOB,False
10,12:30,Bob,SOCIALIZE,7,7.0,100,DAVE,False
10,12:30,Mark,SOCIALIZE,3,7.0,100,DAVE,False
11,13:00,Alice,SOCIALIZE,2,7.0,100,DAVE,False
11,13:00,Bob,SOCIALIZE,2,7.0,100,DAVE,False
11,13:00,Dave,SOCIALIZE,2,7.0,100,BOB,False
11,13:00,Mark,DEEP_WORK,5,7.0,100,NONE,True
12,13:30,Bob,SOCIALIZE,8,7.0,100,DAVE,False
