Tick,Time,Agent,Intent,Stress,Trust,TaskProgress,Suspect,IsFallback
1,08:00,Bob,DEEP_WORK,2,7.0,22,NONE,False
1,08:00,Dave,DEEP_WORK,3,7.0,20,NONE,False
1,08:00,Mark,DEEP_WORK,4,7.0,19,NONE,False
1,08:00,Alice,COLLABORATE,3,7.0,5,NONE,False
2,08:30,Dave,DEEP_WORK,3,7.0,45,NONE,False
2,08:30,Mark,COLLABORATE,2,7.0,30,NONE,False
2,08:30,Alice,COLLABORATE,2,7.0,14,BOB,False
2,08:30,Bob,DEEP_WORK,3,7.0,47,NONE,False
3,09:00,Dave,DEEP_WORK,2,7.0,63,BOB,False
3,09:00,Bob,DEEP_WORK,3,7.0,72,NONE,False
3,09:00,Alice,DEEP_WORK,3,7.0,35,BOB,False
3,09:00,Mark,DEEP_WORK,9,7.0,53,NONE,False
4,09:30,Alice,DEEP_WORK,3,7.0,50,BOB,False
4,09:30,Dave,DEEP_WORK,7,7.0,82,BOB,False
4,09:30,Bob,DEEP_WORK,9,7.0,96,MARK,False
4,09:30,Mark,DEEP_WORK,8,7.0,69,NONE,False
5,10:00,Mark,DEEP_WORK,8,7.0,84,BOB,False
5,10:00,Alice,DEEP_WORK,3,7.0,66,NONE,False
5,10:00,Bob,DEEP_WORK,5,7.0,100,NONE,True
5,10:00,Dave,DEEP_WORK,5,7.0,100,NONE,True
6,10:30,Mark,DEEP_WORK,5,7.0,100,DAVE,False
6,10:30,Alice,DEEP_WORK,3,7.0,87,DAVE,False
6,10:30,Dave,SOCIALIZE,8,7.0,100,BOB,False
6,10:30,Bob,DEEP_WORK,5,7.0,100,NONE,True
7,11:00,Alice,DEEP_WORK,2,7.0,100,NONE,False
7,11:00,Dave,SOCIALIZE,6,7.0,100,BOB,False
7,11:00,Mark,SOCIALIZE,2,7.0,100,NONE,False
7,11:00,Bob,SOCIALIZE,3,7.0,100,DAVE,False
8,11:30,Mark,SOCIALIZE,8,7.0,100,BOB,False
8,11:30,Alice,SOCIALIZE,3,7.0,100,MARK,False
8,11:30,Bob,SOCIALIZE,3,7.0,100,NONE,False
8,11:30,Dave,SOCIALIZE,3,7.0,100,BOB,False
9,12:00,Alice,SOCIALIZE,1,7.0,100,MARK,False
9,12:00,Mark,SOCIALIZE,2,7.0,100,NONE,False
9,12:00,Dave,SOCIALIZE,3,7.0,100,NONE,False
9,12:00,Bob,SOCIALIZE,3,7.0,100,DAVE,False
10,12:30,Mark,SOCIALIZE,3,7.0,100,BOB,False
10,12:30,Dave,SOCIALIZE,3,7.0,100,NONE,False
10,12:30,Alice,SOCIALIZE,2,7.0,100,BOB,False
10,12:30,Bob,SOCIALIZE,4,7.0,100,DAVE,False
11,13:00,Alice,SOCIALIZE,2,7.0,100,BOB,False
11,13:00,Mark,SOCIALIZE,9,7.0,100,BOB,False
11,13:00,Dave,SOCIALIZE,4,7.0,100,BOB,False
11,13:00,Bob,DEEP_WORK,5,7.0,100,NONE,True
12,13:30,Dave,SOCIALIZE,3,7.0,100,BOB,False
12,13:30,Bob,SOCIALIZE,5,7.0,100,MARK,False
12,13:30,Mark,SOCIALIZE,5,7.0,100,BOB,False
12,13:30,Alice,DEEP_WORK,3,7.0,100,NONE,False
13,14:00,Dave,SOCIALIZE,1,7.0,100,BOB,False
13,14:00,Mark,SOCIALIZE,2,7.0,100,BOB,False
